n,Link rate,Packet arrival count,Blocking rate,Total bits transmitted (Mbits),Output rate (Mbps),Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),
1000,1000,75051090, 0.600017, 750.347833, 0.001000, 1000000,0.01332,100.000, 362643270.664656, 
1000,10000,14394693, 0.599872, 715.997667, 0.004975, 1000000,0.06947,100.000, 43400334.389513, 
1000,100000,13724266, 0.599853, 681.004333, 0.004963, 1000000,0.07286,100.000, 59.391283, 
1000,1000000,13523770, 0.599880, 669.850500, 0.004955, 1000000,0.07394,100.000, 4.572637, 
1000,10000000,13505949, 0.599875, 668.847000, 0.004954, 1000000,0.07404,100.000, 0.458573, 
