Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
5,10371, 10000,0.96423,1000.000, 8.141508, 25, 15, 0.035, 0.963, 0.001000, 
6,14918, 10000,0.67033,1500.000, 14.809769, 5, 15, 0.329, 1.000, 0.001000, 
6,14918, 10000,0.67033,1500.000, 14.809769, 10, 15, 0.329, 1.000, 0.001000, 
6,14918, 10000,0.67033,1500.000, 14.809769, 15, 15, 0.329, 1.000, 0.001000, 
6,14918, 10000,0.67033,1500.000, 14.809769, 20, 15, 0.329, 1.000, 0.001000, 
6,14918, 10000,0.67033,1500.000, 14.809769, 25, 15, 0.329, 1.000, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 5, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 10, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 20, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 25, 15, 0.000, 0.240, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 5, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 10, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 20, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 25, 15, 0.000, 0.250, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 5, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 10, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 20, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 25, 15, 0.000, 0.489, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 5, 15, 0.000, 0.499, 0.000500, 
