Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
5,19960, 10000,0.50100,1000.000, 29.701397, 25, 15, 0.498, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 30.257909, 5, 15, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 30.257909, 10, 15, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 30.257909, 15, 15, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 30.257909, 20, 15, 0.666, 0.500, 0.001000, 
6,29955, 10000,0.33383,1500.000, 30.257909, 25, 15, 0.666, 0.500, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158716, 5, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 10, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 15, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 20, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158716, 25, 15, 0.000, 0.240, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 5, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 10, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 15, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 20, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167441, 25, 15, 0.000, 0.250, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 5, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 10, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 15, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 20, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484090, 25, 15, 0.000, 0.489, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 5, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 10, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 15, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 20, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503897, 25, 15, 0.000, 0.499, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.322140, 5, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.322140, 10, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.322140, 15, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.322140, 20, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.322140, 25, 15, 0.017, 0.932, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141968, 5, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141968, 10, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141968, 15, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141968, 20, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141968, 25, 15, 0.035, 0.963, 0.000500, 
6,14919, 10000,0.67029,1500.000, 14.817289, 5, 15, 0.329, 1.000, 0.000500, 
6,14919, 10000,0.67029,1500.000, 14.817289, 10, 15, 0.329, 1.000, 0.000500, 
6,14919, 10000,0.67029,1500.000, 14.817289, 15, 15, 0.329, 1.000, 0.000500, 
6,14919, 10000,0.67029,1500.000, 14.817289, 20, 15, 0.329, 1.000, 0.000500, 
6,14919, 10000,0.67029,1500.000, 14.817289, 25, 15, 0.329, 1.000, 0.000500, 
